Facility ID,Facility Name,Audience,Prompt Version,Performance Evidence,Context Evidence,Prompt,Split,Evaluation Source,Generated Narrative,Generation Seconds,Flesch Reading Ease,Numeric Recall,Numeric Precision,Direction Recall,Generated Words,Compression Ratio
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Patient Friendly,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Narrative:",Training,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",The MONUMENT HEALTH RAPID CITY HOSPITAL is a hospital that provides timely and effective care. The hospital has low ED time and poor communication about medicines.,28.565798299998278,30.947692307692336,0.0,0.0,0.0,26,0.3291139240506329
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Executive Summary,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Narrative:",Training,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better","The facility at MONUMENT HEALTH RAPID CITY HOSPITAL has a strong focus on timely and effective care. The hospital has low patient satisfaction. However, the hospital's patient survey scores are below average.",29.013058599986834,34.160909090909115,0.0,0.0,0.0,32,0.4050632911392405
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Clinical,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6491.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6491.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases

Narrative:",Training,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6491.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases","Healthcare-Associated Infections - CLABSI (ICU + select wards): 6491.0 Device Days Healthcare Associated Diseases: 0.0 Cases, 0 Healthcare associated infections",33.93219880000106,-7.497499999999974,0.18181818181818182,0.6666666666666666,0.0,20,0.20202020202020202
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Community Report,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Narrative:",Training,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",The MONUMENT HEALTH RAPID CITY HOSPITAL provides timely and effective care. The hospital has a low patient satisfaction rating. It also has poor communication about medicines.,25.66834239999298,22.330641025641057,0.0,0.0,0.0,26,0.3291139240506329
350015,SANFORD MEDICAL CENTER BISMARCK,Patient Friendly,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Narrative:",Training,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better","The hospital SANFORD MEDICAL CENTER BISMARCK has a low CLABSI rate, but if you are in the ICU, you will get better care than the national benchmark.",46.00096550001763,54.09666666666669,0.0,0.0,1.0,27,0.3
350015,SANFORD MEDICAL CENTER BISMARCK,Executive Summary,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Narrative:",Training,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better","The performance of SANFORD MEDICAL CENTER BISMARCK is compared to the national benchmark. The strengths of the hospital are Healthcare-Associated Infections, Overall: No Different than National Benchmark, Relative Performance: 0.24 SD from cohort, and Timely and Effective Care.",37.03267559999949,29.23096491228074,0.1,1.0,0.0,38,0.4222222222222222
350015,SANFORD MEDICAL CENTER BISMARCK,Clinical,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.33 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.47 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 7553.0 Device Days
    - CLABSI (ICU + select Wards): 2.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.33 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.47 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 7553.0 Device Days
    - CLABSI (ICU + select Wards): 2.0 Cases

Narrative:",Training,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.33 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.47 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 7553.0 Device Days
    - CLABSI (ICU + select Wards): 2.0 Cases",Healthcare-Associated Infections - CLABSI (ICU + select Wards): 7553.0 Device Days – Clabsi (iCU+ select wards).,28.842956600012258,31.037500000000023,0.08333333333333333,1.0,0.0,16,0.1415929203539823
350015,SANFORD MEDICAL CENTER BISMARCK,Community Report,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Narrative:",Training,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better","The hospital SANFORD MEDICAL CENTER BISMARCK has a low CLABSI rate, but it does not perform as well as the national benchmark. It is also not as effective in providing timely and effective care.",23.840166699985275,52.72705882352943,0.0,0.0,0.0,34,0.37777777777777777
50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,Patient Friendly,1,"Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",Training,"Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better","LOS ROBLES HOSPITAL & MEDICAL CENTER is a hospital that provides timely and effective care. The hospital has strengths in timely care, but it has weaknesses in patient satisfaction.",18.483436000009533,35.5107142857143,0.0,0.0,0.0,29,0.3717948717948718
50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,Executive Summary,1,"Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",Training,"Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better","LOS ROBLES HOSPITAL & MEDICAL CENTER is a hospital with strengths in timely and effective care. The hospital has weaknesses in patient survey. Overall, the hospital performs well.",28.782974600006128,41.03333333333336,0.0,0.0,0.0,28,0.358974358974359
