Facility ID,Facility Name,Audience,Prompt Version,Performance Evidence,Context Evidence,Prompt,Split,Evaluation Source,Generated Narrative,Flesch Reading Ease,Numeric Recall,Numeric Precision,Direction Recall,Generated Words,Compression Ratio
150042,GOOD SAMARITAN HOSPITAL,Patient Friendly,1,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Narrative:",Development,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better","Good Samariah Hospital is a hospital that provides timely and effective care. The hospital has weaknesses in healthcare Associated Infections, such as Clostridium Difficile and CLABSI.",21.18615384615387,0.0,0.0,0.0,26,0.3132530120481928
150042,GOOD SAMARITAN HOSPITAL,Executive Summary,1,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Narrative:",Development,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better","The facility is a Good Samaritan Hospital. The strengths of the hospital are timely and effective care. Healthcare-Associated Infections are weak. Overall, the facility performs well.",33.91708333333335,0.0,0.0,0.0,26,0.3132530120481928
150042,GOOD SAMARITAN HOSPITAL,Clinical,1,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 2230.0 Device Days
    - CLABSI (ICU + select Wards): 3.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 2230.0 Device Days
    - CLABSI (ICU + select Wards): 3.0 Cases

Narrative:",Development,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 2230.0 Device Days
    - CLABSI (ICU + select Wards): 3.0 Cases","Healthcare-Associated Infections (CLABSI) in ICU + select wards was 2230.0 device days. The CLABsI was 3.0 cases. Overall, the hospital performed well.",42.035000000000025,0.18181818181818182,1.0,0.0,22,0.20754716981132076
150042,GOOD SAMARITAN HOSPITAL,Community Report,1,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Narrative:",Development,"Facility: GOOD SAMARITAN HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.98 SD from cohort

  Key Measures:
    - ED Time - General Patients: 117.00 Minutes
      Cohort Mean: 191.65 | Lower is Better
    - ED Time - All Patients: 121.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CLABSI (ICU + select Wards): 1.50 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better","The Good Samaritan Hospital has a low CLABSI rate of 0.55. The hospital is rated as good for providing timely and effective care to its patients. However, the hospital has some weaknesses.",54.33004032258066,0.1111111111111111,1.0,0.0,32,0.3855421686746988
430014,AVERA ST LUKES,Patient Friendly,1,"Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Narrative:",Development,"Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",The AVERA ST LUKES hospital has a low CAUTI rate of 0.50. The hospital's strengths are timely and effective care. It also has low healthcare-associated infections.,55.85041666666669,0.1111111111111111,1.0,0.0,26,0.3132530120481928
430014,AVERA ST LUKES,Executive Summary,1,"Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Narrative:",Development,"Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",The facility at AVERA ST LUKES has a strong focus on providing timely and effective care. The hospital's weaknesses include Healthcare-Associated Infections and Clostridium Difficile.,20.79916666666668,0.0,0.0,0.0,25,0.30120481927710846
430014,AVERA ST LUKES,Clinical,1,"Facility: AVERA ST LUKES

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.15 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 3.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Quietness: 3.00 Stars
      Cohort Mean: 2.78 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1217.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: AVERA ST LUKES

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.15 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 3.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Quietness: 3.00 Stars
      Cohort Mean: 2.78 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1217.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases

Narrative:",Development,"Facility: AVERA ST LUKES

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.15 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 3.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Quietness: 3.00 Stars
      Cohort Mean: 2.78 | Higher is Better
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1217.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases","CLABSI (ICU + select wards): 1217.0 Device Days - Clabsi (iCU+ select Wards), 0.0 Cases were reported for Healthcare-Associated Infections.",36.85980392156864,0.18181818181818182,1.0,0.0,20,0.2
430014,AVERA ST LUKES,Community Report,1,"Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Narrative:",Development,"Facility: AVERA ST LUKES

Strengths:
  Timely and Effective Care
  Relative Performance: 0.84 SD from cohort

  Key Measures:
    - ED Time - All Patients: 123.00 Minutes
      Cohort Mean: 196.20 | Lower is Better
    - ED Time - General Patients: 123.00 Minutes
      Cohort Mean: 191.65 | Lower is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - Clostridium Difficile: 1.27 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - CAUTI (ICU + select Wards): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",AVERA ST LUKES is a community hospital providing care for the elderly. The hospital is known for its timely and effective care. It has fewer Healthcare-Associated Infections than other hospitals in the area.,38.57284313725492,0.0,0.0,0.0,33,0.39759036144578314
190274,OCHSNER MEDICAL CENTER-KENNER,Patient Friendly,1,"Facility: OCHSNER MEDICAL CENTER-KENNER

Strengths:
  Patient Survey
  Relative Performance: 0.39 SD from cohort

  Key Measures:
    - Discharge information: 5.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.54 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: OCHSNER MEDICAL CENTER-KENNER

Strengths:
  Patient Survey
  Relative Performance: 0.39 SD from cohort

  Key Measures:
    - Discharge information: 5.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.54 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Narrative:",Development,"Facility: OCHSNER MEDICAL CENTER-KENNER

Strengths:
  Patient Survey
  Relative Performance: 0.39 SD from cohort

  Key Measures:
    - Discharge information: 5.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.54 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",The OCHSNER MEDICAL CENTER-KENNER is a hospital with strengths and weaknesses. The hospital has low CLABSI and low CAUTI. Its strengths are patient satisfaction and communication about medicines.,39.49229885057474,0.0,0.0,0.0,28,0.35443037974683544
190274,OCHSNER MEDICAL CENTER-KENNER,Executive Summary,1,"Facility: OCHSNER MEDICAL CENTER-KENNER

Strengths:
  Patient Survey
  Relative Performance: 0.39 SD from cohort

  Key Measures:
    - Discharge information: 5.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.54 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: OCHSNER MEDICAL CENTER-KENNER

Strengths:
  Patient Survey
  Relative Performance: 0.39 SD from cohort

  Key Measures:
    - Discharge information: 5.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.54 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Narrative:",Development,"Facility: OCHSNER MEDICAL CENTER-KENNER

Strengths:
  Patient Survey
  Relative Performance: 0.39 SD from cohort

  Key Measures:
    - Discharge information: 5.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Weaknesses:
  Healthcare-Associated Infections

  Key Measures:
    - CLABSI (ICU + select Wards): 1.24 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.54 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better","The facility at OCHSNER MEDICAL CENTER-KENNER has strengths in patient satisfaction, but weaknesses in healthcare-associated infections. The hospital has a low CLABSI rate, and low CAUTI rates.",34.58646551724141,0.0,0.0,0.0,27,0.34177215189873417
