Function,Description,Input,Output
print_outputs,Returns notebook outputs in a consistent organized format.,"(title=None, *outputs)",
store_insight,"Stores decisions, findings, and interpretations for later reporting.","(insight, stage=None, section=None, experiment=None, parameter=None, metric=None, value=None, status=None, decision=None, notes=None)",
store_function,Stores reusable functions and their signatures for traceability.,"(function, description=None, input=None, output=None)",
validate_evidence_repository,Validates core evidence fields while separating expected dataset-specific missing values.,(evidence_repository),
select_audience_evidence,Selects facility evidence relevant to a specified narrative audience.,"(evidence_repository, facility_id, audience, audience_relevance, parameters)",
separate_measure_roles,Separates performance measures for statistical ranking from simplified contextual measures for narrative support.,(dataframe),
add_performance_rankings,Ranks individual measures and overall domains using direction-adjusted standardized performance.,(dataframe),
build_performance_summary,Summarizes strongest and weakest facility domains with benchmark context for key measures.,"(performance_rankings, top_n=2)",
build_context_evidence,Formats a small number of contextual measures for supplemental narrative evidence.,"(contextual_measures, facility_id, max_context=2)",
build_narrative_evidence,Builds concise facility evidence with benchmark context for grounded narrative generation.,(summary_row),
build_narrative_prompt,"Creates versioned FLAN-T5 prompts using communication style, performance evidence, and contextual support.","(evidence, context, style, communication_prompts, version=1)",
prepare_facility_prompt,,"(evidence_repository, facility_id, audience, audience_relevance, parameters, communication_prompts, version=1)",
count_tokens,Counts the number of tokens in narrative evidence or prompts.,"(text, tokenizer)",
