Facility ID,Facility Name,Split
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Training
350015,SANFORD MEDICAL CENTER BISMARCK,Training
050549,LOS ROBLES HOSPITAL & MEDICAL CENTER,Training
050132,SAN GABRIEL VALLEY MEDICAL CENTER,Training
250123,SINGING RIVER GULFPORT,Training
150042,GOOD SAMARITAN HOSPITAL,Development
430014,AVERA ST LUKES,Development
190274,OCHSNER MEDICAL CENTER-KENNER,Development
380050,SKY LAKES MEDICAL CENTER,Development
190026,RAPIDES REGIONAL MEDICAL CENTER,Development
030023,FLAGSTAFF MEDICAL CENTER,Testing
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,Testing
450058,BAPTIST MEDICAL CENTER,Testing
050517,VICTOR VALLEY GLOBAL MEDICAL CENTER,Testing
080004,"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",Testing
