Facility ID,Facility Name,Audience,Prompt Version,Performance Evidence,Context Evidence,Prompt,Prompt Tokens,Within Token Limit,Generated Narrative
200033,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,Patient Friendly,1,"Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",224,True,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER is a hospital that provides quality care. It has a low ED wait time and a high Septic Shock 3-Hour Bundle rate. The hospital has a low nurse communication score.
200033,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,Executive Summary,1,"Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",224,True,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER is a hospital with strengths in timely and effective care. The hospital has weaknesses in patient survey and nurse communication.
200033,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,Clinical,1,"Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 17212.0 Device Days
    - CLABSI (ICU + select Wards): 9.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 17212.0 Device Days
    - CLABSI (ICU + select Wards): 9.0 Cases

Narrative:",274,True,Healthcare-Associated Infections - CLABSI (ICU + select Wards): 17212.0 Device Days - CLABSI (ICU + select Wards): 9.0 Cases
200033,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,Community Report,1,"Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.06 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 106.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - Septic Shock 3-Hour Bundle: 87.00 Percent
      Cohort Mean: 71.21 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",219,True,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER is a hospital providing medical care in the Eastern Maine area. It has a high rate of timely and effective care. The hospital has a low rate of patient satisfaction.
500072,OLYMPIC MEDICAL CENTER,Patient Friendly,1,"Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Narrative:",211,True,The OLYMPIC MEDICAL CENTER is a hospital with a high patient satisfaction rating. The hospital has a low ED time and a high rate of severe sepsis.
500072,OLYMPIC MEDICAL CENTER,Executive Summary,1,"Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Narrative:",211,True,The OLYMPIC MEDICAL CENTER has a strong patient survey and a strong nurse communication. The hospital has a weak timely and effective care.
500072,OLYMPIC MEDICAL CENTER,Clinical,1,"Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1599.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1599.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases

Narrative:",262,True,Healthcare-Associated Infections - CLABSI (ICU + select Wards): 1599.0 Device Days - CLABSI (ICU + select Wards): 1.0 Cases
500072,OLYMPIC MEDICAL CENTER,Community Report,1,"Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: OLYMPIC MEDICAL CENTER

Strengths:
  Patient Survey
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - Communication about medicines: 3.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Nurse communication: 4.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Severe Sepsis 3-Hour Bundle: 64.00 Percent
      Cohort Mean: 79.54 | Higher is Better
    - ED Time - All Patients: 275.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Narrative:",206,True,OLYMPIC MEDICAL CENTER is a community hospital with a high level of patient satisfaction. The hospital has a high level of nurse communication and a high level of communication about medicines. The hospital has a low level of timely and effective care.
220046,BERKSHIRE MEDICAL CENTER,Patient Friendly,1,"Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.55 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.55 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better

Narrative:",246,True,The BERKSHIRE MEDICAL CENTER is a hospital that has a lower patient satisfaction rating than the national benchmark.
220046,BERKSHIRE MEDICAL CENTER,Executive Summary,1,"Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.55 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.55 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better

Narrative:",246,True,The facility at BERKSHIRE MEDICAL CENTER has a strong performance record in Healthcare-Associated Infections. The facility has a low patient survey score.
