Facility ID,Facility Name,Audience,Prompt Version,Performance Evidence,Context Evidence,Prompt,Split
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Patient Friendly,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Narrative:",Training
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Executive Summary,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Narrative:",Training
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Clinical,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6491.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6491.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases

Narrative:",Training
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,Community Report,1,"Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: MONUMENT HEALTH RAPID CITY HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.45 SD from cohort

  Key Measures:
    - ED Time - Psychiatric Patients: 179.00 Minutes
      Cohort Mean: 319.04 | Lower is Better
    - ED Time - All Patients: 162.00 Minutes
      Cohort Mean: 196.20 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Recommend hospital: 3.00 Stars
      Cohort Mean: 3.41 | Higher is Better
    - Communication about medicines: 2.00 Stars
      Cohort Mean: 2.25 | Higher is Better

Narrative:",Training
350015,SANFORD MEDICAL CENTER BISMARCK,Patient Friendly,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Narrative:",Training
350015,SANFORD MEDICAL CENTER BISMARCK,Executive Summary,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Narrative:",Training
350015,SANFORD MEDICAL CENTER BISMARCK,Clinical,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.33 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.47 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 7553.0 Device Days
    - CLABSI (ICU + select Wards): 2.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.33 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.47 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 7553.0 Device Days
    - CLABSI (ICU + select Wards): 2.0 Cases

Narrative:",Training
350015,SANFORD MEDICAL CENTER BISMARCK,Community Report,1,"Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SANFORD MEDICAL CENTER BISMARCK

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.24 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.26 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - MRSA Bacteremia: 0.41 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - Septic Shock 6-Hour Bundle: 62.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 38.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Narrative:",Training
050549,LOS ROBLES HOSPITAL & MEDICAL CENTER,Patient Friendly,1,"Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",Training
050549,LOS ROBLES HOSPITAL & MEDICAL CENTER,Executive Summary,1,"Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: LOS ROBLES HOSPITAL & MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.31 SD from cohort

  Key Measures:
    - Septic Shock 6-Hour Bundle: 95.00 Percent
      Cohort Mean: 85.81 | Higher is Better
    - ED Time - Psychiatric Patients: 176.00 Minutes
      Cohort Mean: 319.04 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",Training
