Split,Facility ID,Facility Name,Domain,Communication Style,Prompt Version,Prepared Narrative,Prompt,Prompt Token Count,Generated Narrative,Generation Seconds,Flesch Reading Ease,Numeric Recall,Numeric Precision,Direction Recall,Generated Words,Compression Ratio
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Patient Friendly,1,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language and short sentences. Preserve all numbers and performance directions.
Prioritize these measures and metrics when available: overall score, overall performance, strongest area, main opportunity.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",126,"Patient experience performed below average overall, with a summary rating of 2.0 stars. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness – star Rating was .",8.71343170000182,43.31708333333336,0.5,1.0,1.0,32,0.7441860465116279
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Patient Friendly,2,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Explain the hospital information as if speaking to a patient choosing where to receive care. Avoid technical jargon and make each result easy to understand. Do not add facts or change statistics.
Prioritize these measures and metrics when available: overall score, overall performance, strongest area, main opportunity.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",134,Explain the hospital information in a clear and concise manner. Identify the strengths and opportunities in each measure. Use the example of the Hospital Information to illustrate the importance of each metric and measure of performance.,8.94106979999924,39.55500000000001,0.0,0.0,0.0,36,0.8372093023255814
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Patient Friendly,3,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Translate the hospital information into clear patient-friendly language. Focus on what the results mean, use simple wording, and preserve all numbers and performance interpretations.
Prioritize these measures and metrics when available: overall score, overall performance, strongest area, main opportunity.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",128,"Patient experience performed below average overall, with a summary rating of 2.0 stars and percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness – Star rating was .",10.742287999994005,46.14294354838711,0.75,1.0,1.0,37,0.8604651162790697
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Executive Summary,1,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Rewrite the hospital information as an executive summary for hospital leadership. Prioritize major strengths, weaknesses, and benchmark comparisons. Preserve all numerical values.
Prioritize these measures and metrics when available: overall score, percentile, overall performance, main weaknesses.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",128,"Patient experience performed below average overall, with a summary rating of 2.0 stars. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness – star Rating was based on relative opportunities at 1.0 stars",9.505820699996548,36.952159090909106,0.75,1.0,1.0,38,0.8837209302325582
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Executive Summary,2,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Summarize the hospital information for an executive audience. Use professional, direct language and emphasize performance relative to comparison groups. Keep all quantitative evidence unchanged.
Prioritize these measures and metrics when available: overall score, percentile, overall performance, main weaknesses.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",125,Prepare a presentation for the hospital's board of directors or other senior management. Identify the strengths and areas for improvement in patient experience. Highlight the areas of greatest need for improvements. Provide measurable metrics for each area of improvement.,9.668536799988942,33.83000000000001,0.0,0.0,0.0,39,0.9069767441860465
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Executive Summary,3,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Create a brief leadership-level performance summary. Highlight areas performing above and below benchmark while retaining the exact numerical findings.
Prioritize these measures and metrics when available: overall score, percentile, overall performance, main weaknesses.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",120,"Patient experience performed below average overall, with a summary rating of 2.0 stars. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness – star Rating was based on relative opportunities at 1.0 stars",12.784812400001101,36.952159090909106,0.75,1.0,1.0,38,0.8837209302325582
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Clinical,1,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Rewrite the hospital information for a healthcare professional audience. Maintain appropriate clinical terminology, report quantitative performance precisely, and do not add unsupported conclusions.
Prioritize these measures and metrics when available: measure name, measure score, benchmark, difference from benchmark, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",127,"Patient experience performed below average overall, with a summary rating of 2.0 stars. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness was rated 1.0 stars relative to average.",11.187092000007397,40.005000000000024,0.75,1.0,1.0,34,0.7906976744186046
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Clinical,2,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Present the hospital information in a clinical style. Retain measure names, numerical values, and performance direction. Do not infer causation or statistical significance.
Prioritize these measures and metrics when available: measure name, measure score, benchmark, difference from benchmark, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",132,"Present the hospital information in a clear, concise, and concise manner. Describe the strengths and areas for improvement in each of the following areas: Patient experience Patient satisfaction Patient safety Patient care Patient cleanliness",9.271716799994465,10.589705882352973,0.0,0.0,0.0,34,0.7906976744186046
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Clinical,3,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Convert the hospital information into a professional clinical performance narrative. Preserve the reported scores and performance classifications for every included measure.
Prioritize these measures and metrics when available: measure name, measure score, benchmark, difference from benchmark, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",125,"Convert the hospital information into a professional clinical performance narrative. Preserve all numerical values and performance classifications. Prioritize these measures and metrics when available: measure name, measure score, benchmark, difference from benchmark.",10.106582399996114,5.65833333333336,0.0,0.0,0.0,32,0.7441860465116279
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Community Report,1,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Rewrite the hospital information for a public community report. Use accessible, neutral, and informative language while preserving all numerical facts.
Prioritize these measures and metrics when available: overall score, overall performance, strongest area, main opportunity.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",122,"Patient experience performed below average overall, with a summary rating of 2.0 stars. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness – star Rating was .",10.153853399999207,43.31708333333336,0.5,1.0,1.0,32,0.7441860465116279
